<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,11:58:00,113864,115215,107939,112340,10
01.09.2020,11:59:00,110844,115051,108072,108661,16
01.09.2020,12:00:00,108703,115118,108012,110326,84
01.09.2020,12:01:00,112246,115220,107953,112667,54
01.09.2020,12:02:00,109480,115237,108042,110616,51
01.09.2020,12:03:00,115212,115212,107935,110446,1
01.09.2020,12:04:00,111040,115066,107906,114023,5
01.09.2020,12:05:00,108293,115294,107939,113408,66
01.09.2020,12:06:00,111675,115099,107938,113726,9
01.09.2020,12:07:00,110958,115255,107987,110259,50
01.09.2020,12:08:00,111144,114862,108175,112881,85
01.09.2020,12:09:00,108127,115273,108127,109348,77
01.09.2020,12:10:00,110718,115241,108049,109177,43
01.09.2020,12:11:00,111345,115284,108280,108863,65
01.09.2020,12:12:00,109964,115170,107920,108655,19
01.09.2020,12:13:00,109474,115037,108193,111268,18
01.09.2020,12:14:00,114024,115009,107972,110688,51
01.09.2020,12:16:00,111846,115141,108089,113501,90
01.09.2020,12:17:00,114458,115287,108034,114068,27
01.09.2020,12:18:00,108110,115215,107950,107950,7
01.09.2020,12:19:00,112067,115182,107923,113864,30
01.09.2020,12:20:00,110314,115280,107944,108296,44
01.09.2020,12:21:00,108023,115087,107931,112305,55
01.09.2020,12:22:00,112454,115257,108003,113613,49
01.09.2020,12:23:00,114804,115258,107991,114573,11
01.09.2020,12:24:00,114112,115224,108061,111632,33
01.09.2020,12:25:00,109781,115108,108363,113405,22
01.09.2020,12:26:00,109111,115251,107980,114399,47
01.09.2020,12:27:00,108766,115072,107902,113041,66
01.09.2020,12:28:00,113394,115294,107911,114598,91
01.09.2020,12:29:00,113251,115216,107915,109841,37
01.09.2020,12:30:00,109749,115075,108005,110667,62
01.09.2020,12:31:00,108940,115233,107956,108652,15
01.09.2020,12:32:00,113759,115252,107968,113531,36
01.09.2020,12:33:00,114986,115265,108148,108904,6
01.09.2020,12:34:00,108742,115090,107952,113438,86
01.09.2020,12:35:00,114712,115280,108379,113981,47
01.09.2020,12:36:00,113214,115241,108041,109856,85
01.09.2020,12:37:00,108640,115254,107920,108493,18
01.09.2020,12:38:00,111677,115281,107998,113146,42
01.09.2020,12:39:00,109845,115248,108141,114395,3
01.09.2020,12:40:00,108883,115269,108063,114374,65
01.09.2020,12:41:00,109882,115234,107945,113735,18
01.09.2020,12:42:00,113097,115297,107975,109390,56
01.09.2020,12:43:00,110179,115169,107911,107911,89
01.09.2020,12:44:00,111404,115286,107902,112815,51
01.09.2020,12:45:00,114566,115164,107961,113685,27
01.09.2020,12:46:00,112407,115125,107928,108444,27
01.09.2020,12:47:00,112625,115280,108269,112334,94
01.09.2020,12:48:00,115214,115229,107902,109685,10
01.09.2020,12:49:00,110684,115263,108220,109474,29
01.09.2020,12:50:00,108494,115249,108025,112284,44
01.09.2020,12:51:00,111166,115224,108296,110858,95
01.09.2020,12:52:00,112786,114918,107926,114290,98
01.09.2020,12:53:00,109648,115236,108038,111396,51
01.09.2020,12:54:00,109790,115143,107940,111856,45
01.09.2020,12:55:00,112082,115198,107970,113763,78
01.09.2020,12:56:00,109279,115251,107924,112882,18
01.09.2020,12:57:00,108511,115054,107963,109785,42
01.09.2020,12:58:00,112441,115161,108051,108234,57
01.09.2020,12:59:00,110742,115112,107984,113130,40
01.09.2020,13:00:00,112481,115250,107994,111896,98
01.09.2020,13:01:00,114810,115159,108062,109614,85
01.09.2020,13:02:00,111719,115274,108059,112247,73
01.09.2020,13:03:00,108789,115297,108220,115014,55
01.09.2020,13:04:00,114458,115247,107974,108034,47
01.09.2020,13:05:00,112624,115030,108256,109180,19
01.09.2020,13:06:00,110598,115280,108206,112868,21
01.09.2020,13:07:00,113767,115283,108050,114808,72
01.09.2020,13:08:00,113652,115207,107923,110462,20
01.09.2020,13:09:00,114257,114865,108296,113849,66
01.09.2020,13:10:00,107935,115171,107935,108247,8
01.09.2020,13:11:00,112404,114922,107956,108922,89
01.09.2020,13:12:00,109634,115264,108016,114170,89
01.09.2020,13:13:00,113694,115215,107945,113611,35
01.09.2020,13:14:00,114734,115255,108127,112235,14
01.09.2020,13:15:00,108925,115206,108038,112284,90
01.09.2020,13:16:00,110314,115197,108019,108654,34
01.09.2020,13:17:00,114166,114800,107942,108868,72
01.09.2020,13:18:00,111221,115071,108048,111603,52
01.09.2020,13:19:00,109408,115240,107982,109401,3
01.09.2020,13:20:00,111672,115241,107960,111774,76
01.09.2020,13:21:00,109947,115288,107910,114918,62
01.09.2020,13:22:00,113744,115144,107976,113168,39
01.09.2020,13:23:00,108084,115269,108008,114000,13
01.09.2020,13:24:00,111187,115296,108382,110067,80
01.09.2020,13:25:00,112989,115243,108339,109614,47
01.09.2020,13:26:00,114436,115274,108180,109988,91
01.09.2020,13:27:00,109485,115240,108250,113428,43
01.09.2020,13:28:00,109293,115138,108100,111627,30
01.09.2020,13:29:00,109140,115262,108281,109684,27
01.09.2020,13:30:00,112270,115122,108045,114523,38
01.09.2020,13:31:00,109219,115267,108083,108341,16
01.09.2020,13:32:00,110084,115028,108012,109527,50
01.09.2020,13:33:00,111512,114785,107971,108232,45
01.09.2020,13:34:00,108254,115208,107998,114985,5
01.09.2020,13:35:00,112606,115117,107955,114754,72
01.09.2020,13:36:00,110437,115281,107932,111707,55
01.09.2020,13:37:00,112410,115280,108042,111861,49
01.09.2020,13:38:00,111449,115282,108016,111114,48
01.09.2020,13:39:00,112204,115231,108021,111740,69
01.09.2020,13:40:00,115004,115228,108504,114885,26
01.09.2020,13:41:00,108846,115182,108005,113248,96
01.09.2020,13:42:00,112910,115125,107961,113322,59
01.09.2020,13:43:00,114220,115247,107953,113152,19
01.09.2020,13:44:00,109919,115223,108339,111988,2
01.09.2020,13:45:00,114551,115201,107912,114077,24
01.09.2020,13:46:00,114277,115140,108077,110675,58
01.09.2020,13:47:00,113007,115151,108049,114110,75
01.09.2020,13:48:00,113569,115252,108229,110198,4
01.09.2020,13:49:00,112559,115212,108193,114650,27
01.09.2020,13:50:00,111513,115104,108030,111852,65
01.09.2020,13:51:00,110534,115077,108137,110563,61
01.09.2020,13:52:00,112528,115192,108025,114307,39
01.09.2020,13:53:00,114644,115230,107924,110145,24
01.09.2020,13:54:00,112652,115142,107962,109041,56
01.09.2020,13:55:00,114509,115235,107928,108294,73
01.09.2020,13:56:00,114006,115235,108116,111632,34
01.09.2020,13:57:00,111859,115013,108087,114642,93
01.09.2020,13:58:00,115194,115194,108154,108212,61
01.09.2020,13:59:00,110880,115226,107927,109077,84
01.09.2020,14:00:00,115212,115212,108044,108940,90
01.09.2020,14:01:00,111352,115279,108130,111144,29
01.09.2020,14:02:00,112671,115208,107917,111598,69
01.09.2020,14:03:00,111675,115266,107922,109032,68
01.09.2020,14:04:00,109965,114884,107946,111196,58
01.09.2020,14:05:00,112568,115240,107965,112191,31
01.09.2020,14:06:00,109134,115296,108003,111468,84
01.09.2020,14:07:00,114319,115058,108086,111618,66
01.09.2020,14:08:00,109898,115218,107981,112020,42
01.09.2020,14:09:00,114004,115276,107997,112616,55
01.09.2020,14:10:00,114082,115295,107940,113885,57
01.09.2020,14:11:00,112980,115246,108001,111855,94
01.09.2020,14:12:00,114989,115235,108142,110994,5
01.09.2020,14:13:00,109709,115068,108183,113185,75
01.09.2020,14:14:00,114238,115281,107974,114453,13
01.09.2020,14:15:00,115123,115123,107952,112050,63
01.09.2020,14:16:00,112238,115244,107921,114677,37
01.09.2020,14:17:00,112842,115287,107995,113870,46
01.09.2020,14:18:00,110430,115188,107903,113576,94
01.09.2020,14:19:00,114919,115206,107997,115028,94
01.09.2020,14:20:00,111132,115190,107997,114701,84
01.09.2020,14:21:00,112951,115151,108318,108458,4
01.09.2020,14:22:00,107966,114796,107931,111495,53
01.09.2020,14:23:00,107903,115266,107903,113904,47
01.09.2020,14:24:00,111417,115282,107945,113777,58
01.09.2020,14:25:00,113271,115024,108168,112690,34
01.09.2020,14:26:00,108405,115020,108065,111053,42
01.09.2020,14:27:00,109628,114778,108155,111401,85
01.09.2020,14:28:00,113591,115205,108226,112977,79
01.09.2020,14:29:00,113287,114818,107929,109059,68
01.09.2020,14:30:00,111057,115251,108010,110590,76
01.09.2020,14:31:00,109464,114829,107984,110155,92
01.09.2020,14:32:00,108457,115020,108294,112670,2
01.09.2020,14:33:00,114641,115192,107940,111287,55
01.09.2020,14:34:00,110631,114582,108013,113558,89
01.09.2020,14:35:00,110211,115280,107953,115171,12
01.09.2020,14:36:00,114265,115281,107931,114306,97
01.09.2020,14:37:00,110045,115193,107913,115193,30
01.09.2020,14:38:00,111483,115129,108040,108830,40
01.09.2020,14:39:00,109059,115075,107992,108174,81
01.09.2020,14:40:00,112912,115295,107927,112902,32
01.09.2020,14:41:00,115218,115218,108034,114424,89
01.09.2020,14:42:00,109835,115234,107961,111746,47
01.09.2020,14:43:00,115287,115287,108152,111047,14
01.09.2020,14:44:00,114317,115213,107903,110861,36
01.09.2020,14:45:00,109735,115266,108074,114488,86
01.09.2020,14:46:00,115273,115273,107904,110982,71
01.09.2020,14:47:00,114785,115203,108179,111240,44
01.09.2020,14:48:00,109649,114989,107922,113882,51
01.09.2020,14:49:00,111668,115260,107923,108306,78
01.09.2020,14:50:00,112831,115161,108039,111830,84
01.09.2020,14:51:00,109189,115251,108028,112403,1
01.09.2020,14:52:00,108857,115159,108060,111252,55
01.09.2020,14:53:00,112988,115116,108080,112365,35
01.09.2020,14:54:00,110769,115144,107950,110772,23
01.09.2020,14:55:00,112786,115108,107937,111372,90
01.09.2020,14:56:00,107979,115232,107979,114553,52
01.09.2020,14:57:00,114628,114880,107997,114880,11
01.09.2020,14:58:00,111856,115245,108057,111251,35
01.09.2020,14:59:00,111413,115287,108129,110305,3
01.09.2020,15:00:00,109031,115278,108225,114989,76
01.09.2020,15:01:00,114819,115242,107957,112681,50
01.09.2020,15:02:00,111418,115291,107907,112660,49
01.09.2020,15:03:00,114567,115204,107972,109433,16
01.09.2020,15:04:00,111623,115197,108081,113984,50
01.09.2020,15:05:00,112956,115063,108091,111931,92
01.09.2020,15:06:00,111960,115070,108003,109012,88
01.09.2020,15:07:00,114994,115263,108118,110521,68
01.09.2020,15:08:00,114299,115197,107999,114118,67
01.09.2020,15:09:00,111864,115225,107953,111946,20
01.09.2020,15:10:00,114086,115270,108007,113462,34
01.09.2020,15:11:00,114818,115060,107917,111530,74
01.09.2020,15:12:00,111454,115291,107931,114048,98
01.09.2020,15:13:00,109628,115140,107999,110620,19
01.09.2020,15:15:00,113771,115238,108036,110381,42
01.09.2020,15:16:00,113019,115199,107956,113353,18
01.09.2020,15:17:00,111904,115191,108073,109620,58
01.09.2020,15:18:00,110130,115131,108006,114908,91
01.09.2020,15:19:00,110411,115276,108123,109737,88
01.09.2020,15:20:00,109385,114898,107926,114489,42
01.09.2020,15:21:00,114973,115292,107910,112808,18
01.09.2020,15:22:00,114339,115239,107965,108776,51
01.09.2020,15:23:00,109577,115188,107919,108242,81
01.09.2020,15:24:00,109540,115236,107904,111032,48
01.09.2020,15:25:00,109921,115013,107934,110051,44
01.09.2020,15:26:00,110083,115195,107918,115195,1
01.09.2020,15:27:00,113622,115222,107935,113737,64
01.09.2020,15:29:00,111315,115264,108061,111256,5
01.09.2020,15:30:00,112905,115211,107908,113457,43
01.09.2020,15:31:00,108576,115079,107915,110213,32
01.09.2020,15:32:00,108359,115257,108016,108126,98
01.09.2020,15:33:00,110708,114940,107921,113029,77
01.09.2020,15:34:00,110773,115256,108005,112851,95
01.09.2020,15:35:00,108184,114967,107971,114967,95
01.09.2020,15:36:00,114675,115206,107915,112412,53
01.09.2020,15:37:00,110172,115276,108094,109545,81
01.09.2020,15:38:00,108719,115153,108124,115153,31
01.09.2020,15:39:00,112320,115288,108036,112953,45
01.09.2020,15:40:00,107940,114871,107940,110547,8
01.09.2020,15:41:00,110608,115248,108084,108840,22
01.09.2020,15:42:00,114051,115294,107987,113770,51
01.09.2020,15:43:00,111330,115235,107947,113078,66
01.09.2020,15:44:00,113139,115265,108054,114323,96
01.09.2020,15:45:00,114994,115055,108024,108922,73
01.09.2020,15:46:00,112779,115263,107911,109689,26
01.09.2020,15:47:00,108038,115202,108038,114214,47
01.09.2020,15:48:00,110656,115167,107983,110158,15
01.09.2020,15:49:00,109040,115113,107996,111400,12
01.09.2020,15:50:00,110728,115174,107991,111283,6
01.09.2020,15:51:00,108868,115161,107983,113968,82
01.09.2020,15:52:00,112882,115076,107936,112790,62
01.09.2020,15:53:00,109307,115225,108063,108901,15
01.09.2020,15:54:00,110857,115057,107920,111360,33
01.09.2020,15:55:00,110075,115020,107965,111364,42
01.09.2020,15:56:00,109177,115144,108090,109205,7
01.09.2020,15:57:00,114618,115223,108484,111150,5
01.09.2020,15:58:00,114168,115262,108000,115086,7
01.09.2020,15:59:00,109675,115281,107937,108826,46
01.09.2020,16:00:00,111799,115211,107914,109537,65
01.09.2020,16:01:00,114247,115074,107968,108327,96
01.09.2020,16:02:00,113138,115288,107993,115288,71
01.09.2020,16:03:00,112874,115233,107902,114015,36
01.09.2020,16:04:00,112767,114707,107924,108884,35
01.09.2020,16:05:00,110023,115204,107931,109547,59
01.09.2020,16:06:00,109696,115217,108184,109817,47
01.09.2020,16:07:00,109476,115117,107913,114006,3
01.09.2020,16:08:00,110324,114978,107982,108245,74
01.09.2020,16:09:00,114447,115256,107910,111667,41
01.09.2020,16:10:00,113740,115270,107984,109114,21
01.09.2020,16:11:00,114102,115210,108065,114712,9
01.09.2020,16:12:00,111284,115110,107939,109426,52
01.09.2020,16:13:00,114259,115004,108059,110966,18
01.09.2020,16:14:00,108482,115291,108258,113697,53
01.09.2020,16:15:00,108673,115280,107955,108077,68
01.09.2020,16:16:00,112350,115023,107981,111809,72
01.09.2020,16:17:00,114047,115292,108038,115242,42
01.09.2020,16:18:00,110748,115077,108068,108562,55
01.09.2020,16:19:00,108618,115287,108004,114326,30
01.09.2020,16:20:00,114326,115265,107970,113449,89
01.09.2020,16:21:00,108742,115280,108041,109704,28
01.09.2020,16:22:00,109216,115200,107921,114830,4
01.09.2020,16:23:00,115242,115242,107940,109851,16
01.09.2020,16:24:00,114480,115290,107996,110717,10
01.09.2020,16:25:00,108543,115176,107968,113195,13
01.09.2020,16:26:00,108574,115147,107925,107925,29
01.09.2020,16:27:00,112524,115121,108051,112391,49
01.09.2020,16:28:00,113912,115199,108051,110120,65
01.09.2020,16:29:00,109573,115097,107901,111418,69
01.09.2020,16:30:00,115266,115266,107930,109554,37
01.09.2020,16:31:00,111625,115267,108089,113124,30
01.09.2020,16:32:00,110552,115107,107908,113052,4
01.09.2020,16:33:00,110270,115279,107947,108516,43
01.09.2020,16:34:00,114863,115262,107951,109911,3
01.09.2020,16:35:00,113778,115286,107989,109508,66
01.09.2020,16:36:00,111166,115206,108050,113024,45
01.09.2020,16:37:00,112902,115119,107981,109690,41
01.09.2020,16:38:00,110964,115160,108014,113813,77
01.09.2020,16:39:00,113576,115272,108015,114957,25
01.09.2020,16:40:00,113376,115228,108167,111739,1
01.09.2020,16:41:00,112528,115026,108088,112434,2
01.09.2020,16:42:00,109926,115236,107988,112700,59
01.09.2020,16:43:00,111885,115268,107982,108135,59
01.09.2020,16:44:00,110208,115068,108109,108549,7
01.09.2020,16:45:00,107942,115262,107942,111775,83
01.09.2020,16:46:00,114653,115262,107964,109918,2
01.09.2020,16:47:00,108531,115287,107965,108486,78
01.09.2020,16:48:00,111743,115281,108035,110326,6
01.09.2020,16:49:00,111220,115260,107958,114370,94
01.09.2020,16:50:00,111778,115286,108084,111658,20
01.09.2020,16:51:00,113465,115067,108077,114375,78
01.09.2020,16:52:00,112488,115168,108016,112242,72
01.09.2020,16:53:00,114224,115297,107902,110739,98
01.09.2020,16:54:00,109462,115225,108348,109185,3
01.09.2020,16:55:00,114103,115193,108049,108464,75
01.09.2020,16:56:00,114738,115274,107930,108071,9
01.09.2020,16:57:00,109456,115208,108105,110786,97
01.09.2020,16:58:00,114721,115121,108049,112786,67
01.09.2020,16:59:00,110988,115170,107969,113547,63
01.09.2020,17:00:00,114867,115137,108144,112476,40
01.09.2020,17:01:00,110343,115087,107972,112925,90
01.09.2020,17:02:00,110291,115240,107949,109658,80
01.09.2020,17:03:00,109109,115289,107917,109313,70
01.09.2020,17:04:00,111851,115100,107980,114641,95
01.09.2020,17:05:00,107917,115236,107917,110640,80
01.09.2020,17:06:00,111061,115227,107928,110511,87
01.09.2020,17:07:00,111863,115293,107962,112052,53
01.09.2020,17:08:00,113014,114999,107969,114926,85
01.09.2020,17:09:00,114934,115261,108046,112852,24
01.09.2020,17:10:00,112971,115238,107977,114033,81
01.09.2020,17:11:00,111867,114871,107912,111634,11
01.09.2020,17:13:00,108786,115265,108061,112197,22
01.09.2020,17:14:00,114999,115250,107962,110305,11
01.09.2020,17:15:00,113694,115273,107931,115080,45
01.09.2020,17:16:00,113067,114865,107914,109969,94
01.09.2020,17:17:00,109932,114921,108087,113622,84
01.09.2020,17:18:00,110518,115164,107931,110172,36
01.09.2020,17:19:00,109553,115281,108015,115281,27
01.09.2020,17:20:00,114245,115281,108173,108623,13
01.09.2020,17:21:00,111522,115295,108060,113588,54
01.09.2020,17:22:00,110085,115145,107923,111591,10
01.09.2020,17:23:00,109014,115179,107991,114615,2
01.09.2020,17:24:00,110797,115206,107962,112967,68
01.09.2020,17:25:00,108006,115298,107909,107909,54
01.09.2020,17:26:00,114088,115199,107914,112321,47
01.09.2020,17:27:00,114069,115288,107921,109892,13
01.09.2020,17:28:00,110557,115202,108449,111814,40
01.09.2020,17:29:00,109898,115188,107917,113463,20
01.09.2020,17:30:00,112492,115257,107964,110169,56
01.09.2020,17:31:00,108480,115201,108197,113096,77
01.09.2020,17:32:00,108849,115216,107907,108484,84
01.09.2020,17:33:00,110374,115169,107928,113888,96
01.09.2020,17:34:00,115296,115296,107976,113584,12
01.09.2020,17:35:00,114813,115262,108036,110893,63
01.09.2020,17:36:00,108356,114797,108018,110341,4
01.09.2020,17:37:00,110228,115261,108074,108811,20
01.09.2020,17:38:00,108997,115294,107940,112097,69
01.09.2020,17:39:00,113014,115262,107965,113941,78
01.09.2020,17:40:00,113367,115297,107923,113893,60
01.09.2020,17:41:00,109446,115297,108008,108008,10
01.09.2020,17:42:00,113790,115289,108078,109394,89
01.09.2020,17:43:00,109503,115140,107954,109047,88
01.09.2020,17:44:00,108913,115173,107975,112792,49
01.09.2020,17:45:00,112140,115281,108124,110841,71
01.09.2020,17:46:00,108171,115293,107995,108235,59
01.09.2020,17:47:00,109291,115191,108243,108313,58
01.09.2020,17:48:00,114111,115285,108377,109609,68
01.09.2020,17:49:00,109880,115148,108029,114196,8
01.09.2020,17:50:00,111199,115227,108038,109650,86
01.09.2020,17:51:00,112401,115290,107934,108944,30
01.09.2020,17:52:00,114722,115236,107904,112696,32
01.09.2020,17:53:00,109976,114980,107926,108498,46
01.09.2020,17:54:00,112665,115062,108206,111056,32
01.09.2020,17:55:00,109312,114784,107942,111295,84
01.09.2020,17:56:00,110316,115280,107918,113663,96
01.09.2020,17:57:00,114364,115238,107915,113393,67
01.09.2020,17:58:00,108078,115152,108069,113895,94
01.09.2020,17:59:00,108674,115042,107912,113595,84
01.09.2020,18:00:00,114763,115237,108075,109832,59
01.09.2020,18:01:00,108958,115212,108149,109436,22
01.09.2020,18:02:00,111668,115176,107929,114508,88
01.09.2020,18:03:00,112370,115042,107974,112647,90
01.09.2020,18:04:00,114344,115194,107984,108661,71
01.09.2020,18:05:00,108256,115254,107955,108053,81
01.09.2020,18:06:00,113116,115261,107926,111115,9
01.09.2020,18:07:00,110103,115278,108106,113764,64
01.09.2020,18:08:00,113442,115085,108095,112648,48
01.09.2020,18:09:00,114264,115131,107976,113141,11
01.09.2020,18:10:00,114178,115237,107950,115167,60
01.09.2020,18:11:00,114188,115142,107993,108864,11
01.09.2020,18:12:00,113695,115220,108681,112166,44
01.09.2020,18:13:00,112315,115237,108074,110538,88
01.09.2020,18:14:00,113866,115299,108175,114089,36
01.09.2020,18:15:00,109215,115175,108003,110471,84
01.09.2020,18:16:00,109103,115263,108009,112324,73
01.09.2020,18:17:00,111898,115176,107956,112719,31
01.09.2020,18:18:00,107905,115296,107905,111412,12
01.09.2020,18:19:00,110039,115279,108007,110701,67
01.09.2020,18:20:00,110854,115284,107942,112920,76
01.09.2020,18:21:00,110086,115200,108042,108062,72
01.09.2020,18:22:00,111136,115181,107989,110104,37
01.09.2020,18:23:00,114638,115222,107995,114468,48
01.09.2020,18:24:00,112186,115294,107942,108166,92
01.09.2020,18:25:00,108157,115275,108025,112806,63
01.09.2020,18:26:00,112501,115028,108025,110177,23
01.09.2020,18:27:00,109950,115203,107958,108180,57
01.09.2020,18:28:00,112293,115276,108037,114440,60
01.09.2020,18:29:00,109897,114847,108055,110445,16
01.09.2020,18:30:00,111694,115279,108033,114347,89
01.09.2020,18:31:00,112896,115194,108082,111909,66
01.09.2020,18:32:00,111491,115181,107984,111827,69
01.09.2020,18:33:00,110645,115226,108110,108614,36
01.09.2020,18:34:00,110653,115278,108205,114887,46
01.09.2020,18:35:00,108505,115231,107980,113266,19
01.09.2020,18:36:00,110916,115157,107977,114830,27
01.09.2020,18:37:00,111578,115011,107924,108531,11
01.09.2020,18:38:00,114075,115056,108053,111672,49
01.09.2020,18:39:00,109578,115141,108119,114317,53
