ID;DISTANCE;STOP_COUNT;COST;FITNESS;INTERNET;PETS_ALLOWED;ADDITIONAL_INFO
99;29;10;33000;17;3;Да;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
100;19;2;57000;3;1;Да;Развитая инфраструктура района
101;28;2;40000;16;0;Да;
102;12;3;34000;23;3;Нет;
103;9;5;32000;21;4;Да;
104;20;8;43000;27;0;Да;
105;26;3;35000;18;2;Да;Подземный паркинг
106;3;3;35000;17;1;Нет;
107;5;8;41000;24;4;Да;
108;21;10;35000;3;4;Да;
109;28;8;53000;6;4;Нет;
110;28;8;23000;13;0;Да;
111;3;9;50000;8;1;Да;
112;12;6;41000;28;1;Да;Рядом с домом расположены Суздальские озера и Шуваловский парк, площадка для выгула четвнроногих питомцев.
113;6;6;56000;21;3;Да;Тематические зоны во дворе: всепогодные игровые площадки и беседки, места для уединенного отдыха, спорта, прогулок
114;5;3;51000;10;2;Да;
115;10;4;34000;5;4;Да;Исторический центр Санкт-Петербурга.
116;17;12;52000;6;1;Да;
117;18;2;28000;12;4;Да;Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
118;19;1;23000;7;0;Да;
119;27;12;30000;17;0;Да;
120;16;8;56000;21;0;Да;
121;5;7;25000;13;2;Да;
122;4;4;57000;21;3;Да;
123;13;5;36000;4;4;Да;Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
124;25;7;31000;3;1;Нет;
125;24;7;54000;7;2;Да;Исторический центр Санкт-Петербурга.
126;27;12;38000;17;4;Да;Для юных жителей будет обустроена велодорожка, для любителей домашних животных – зона для игр и дрессировки питомцев.
127;19;8;53000;9;1;Да;
128;14;3;48000;5;1;Нет;
129;6;7;21000;23;3;Да;
130;6;1;31000;5;2;Да;
131;8;12;59000;16;4;Да; В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк, есть место для выгула четвероногих друзей.
132;3;11;51000;11;2;Да;Огороженная площадка для дрессировки собак на территории парка отдыха
133;25;7;22000;13;1;Да;
134;4;11;44000;21;4;Да;
135;21;9;43000;24;4;Да;
136;12;7;33000;3;2;Да;
137;25;12;26000;29;1;Да;
138;13;8;21000;18;1;Да;
139;21;11;36000;16;0;Нет;
140;19;5;22000;12;0;Да;
141;12;9;50000;26;2;Да;
142;6;2;30000;8;2;Да;
143;4;8;40000;23;3;Да;
144;29;2;30000;22;4;Нет;
145;15;5;30000;3;0;Нет;
146;26;5;30000;14;4;Да;
147;22;5;35000;9;2;Да;
148;20;10;52000;9;3;Да;Развитая инфраструктура района
149;29;11;23000;23;1;Нет;
150;26;12;56000;7;3;Да;
151;20;12;56000;11;0;Да;
152;3;3;57000;11;2;Да;
153;15;5;36000;27;1;Да;
154;27;6;42000;6;4;Да;
155;3;8;41000;5;4;Нет;Находится в историческом районе сталинской застройки «Ланской» в окружении многочисленных парков. 
156;3;11;41000;8;3;Да;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
157;3;8;38000;4;4;Нет;
158;5;4;37000;11;4;Да;
159;20;4;59000;18;4;Да;
160;15;7;24000;6;0;Да;
161;10;5;48000;7;1;Да;
162;13;10;50000;22;4;Да;
163;27;3;38000;19;4;Нет;
164;22;3;43000;6;3;Да;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
165;17;12;33000;27;0;Да;
166;18;3;30000;23;4;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
167;22;7;47000;28;0;Да;
168;3;4;23000;26;2;Нет;
169;13;2;55000;3;1;Да;Исторический центр Санкт-Петербурга.
170;3;12;46000;22;4;Да;Для юных жителей будет обустроена велодорожка, для любителей домашних животных – зона для игр и дрессировки питомцев.
171;4;6;35000;6;2;Да;
172;18;4;21000;29;1;Да;
173;11;10;47000;23;2;Да;
174;25;3;30000;22;3;Да;
175;27;2;39000;7;2;Да;
176;11;8;58000;25;2;Нет;
177;29;10;58000;3;0;Да;
178;21;3;46000;14;3;Да;
179;14;12;46000;16;3;Да;Огороженная площадка для дрессировки собак на территории парка отдыха
180;3;1;43000;16;3;Нет;
181;21;8;21000;11;0;Да;
182;22;4;30000;5;3;Да; Закрытый двор без машин с собственным освещением, посты охраны, детская и спортивная площадки, зона для барбекю, оборудованные площадки для отдыха.
183;7;10;43000;11;3;Да;
184;15;1;31000;28;1;Да;
185;18;3;49000;4;4;Да;
186;23;5;58000;16;3;Нет;
187;21;7;39000;5;3;Да;
188;7;11;54000;26;4;Да;
189;5;6;54000;14;2;Нет;Рядом с домом расположены Суздальские озера и Шуваловский парк, площадка для выгула четвнроногих питомцев.
190;28;8;52000;20;4;Да;
191;17;7;23000;20;4;Да;
192;9;5;41000;9;0;Нет;
193;26;5;54000;20;4;Да;Исторический центр Санкт-Петербурга.
194;29;1;31000;4;1;Да;
195;3;2;48000;7;4;Да;
196;7;11;20000;9;3;Нет;Исторический центр Санкт-Петербурга.
197;24;11;55000;15;2;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
198;11;1;48000;5;0;Да;
199;14;4;37000;3;2;Да;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
200;20;10;56000;25;0;Да;
